student_id,study_level,video_completion_pct,lecture_duration_min,pause_count,rewatch_count,quiz_attempts,quiz_score_pct,notes_taken,questions_asked,login_delay_min,sessions_per_week,screen_time_hours,completion_ratio,quiz_efficiency,engagement_score,performance_category,next_quiz_score,reference_behavior_group
S1001,Medium,79.7,45.5,1,0,4,49.0,No,1,3.2,4,4.6,0.797,12.24,66.9,Medium,56.2,Quiz-focused learners
S1002,Very Good,91.1,44.6,5,1,2,61.2,Yes,0,3.4,5,6.2,0.911,30.62,73.9,Medium,80.8,Complete learners
S1003,Good,90.7,22.7,0,5,1,43.6,No,0,4.0,6,3.6,0.907,43.61,80.5,Good,47.1,Rewatch learners
S1004,Good,94.9,40.7,7,1,1,69.7,Sometimes,1,11.8,3,4.4,0.949,69.7,42.1,Low,74.8,Mixed learners
S1005,Low,71.6,26.0,5,2,2,39.7,Sometimes,2,15.2,1,4.5,0.716,19.86,13.0,Poor,45.5,Last-minute learners
S1006,Low,69.1,49.5,1,3,2,63.1,Sometimes,0,5.1,7,5.7,0.691,31.55,81.0,Good,61.0,Mixed learners
S1007,Poor,63.5,40.5,4,4,2,45.9,No,1,14.4,6,5.6,0.635,22.97,49.7,Poor,57.9,Mixed learners
S1008,Very Good,100.0,47.2,3,2,1,63.3,Yes,3,8.9,1,4.1,1.0,63.31,52.4,Low,72.2,Mixed learners
S1009,Good,97.1,21.7,6,1,2,58.7,No,1,7.1,3,4.6,0.971,29.33,51.4,Low,70.3,Complete learners
S1010,Good,91.2,23.4,9,5,3,58.7,Sometimes,3,6.5,8,3.8,0.912,19.58,96.1,Very Good,62.4,Rewatch learners
S1011,Poor,53.7,48.7,0,6,3,55.5,No,3,13.2,7,1.8,0.537,18.5,74.4,Good,67.5,Rewatch learners
S1012,Very Good,95.2,22.9,5,4,2,42.9,No,2,10.3,6,5.0,0.952,21.46,71.8,Medium,60.5,Mixed learners
S1013,Very Good,100.0,22.9,5,3,2,75.2,Yes,1,23.9,4,7.9,1.0,37.61,35.7,Poor,85.8,Last-minute learners
S1014,Low,58.5,20.5,7,1,1,49.0,No,1,2.0,5,2.9,0.585,49.01,60.7,Low,58.2,Mixed learners
S1015,Low,67.9,58.3,6,1,2,40.9,Yes,1,11.6,4,3.1,0.679,20.46,40.7,Poor,49.5,Mixed learners
S1016,Low,61.9,49.5,3,4,1,39.2,Sometimes,1,4.3,7,2.9,0.619,39.23,77.4,Good,57.4,Mixed learners
S1017,Medium,75.2,34.1,4,3,3,67.3,No,0,1.9,3,5.8,0.752,22.42,54.0,Low,63.6,Mixed learners
S1018,Medium,85.2,31.9,3,5,1,50.8,Yes,2,7.9,3,5.3,0.852,50.79,57.6,Medium,52.1,Rewatch learners
S1019,Medium,76.5,34.0,8,4,2,45.2,No,1,9.0,7,4.2,0.765,22.61,66.9,Low,67.7,Mixed learners
S1020,Low,65.4,51.0,5,0,3,58.5,Yes,3,28.4,4,2.8,0.654,19.51,21.2,Poor,58.9,Mixed learners
S1021,Good,75.1,46.5,11,5,3,56.5,No,2,6.7,7,4.7,0.751,18.84,73.7,Medium,63.3,Rewatch learners
S1022,Low,71.0,27.4,5,1,6,44.4,Yes,2,0.1,3,1.7,0.71,7.41,64.0,Medium,52.7,Quiz-focused learners
S1023,Low,70.2,27.0,3,2,3,53.3,No,0,9.9,4,4.8,0.702,17.77,42.9,Poor,59.7,Mixed learners
S1024,Medium,92.3,23.9,0,3,1,53.3,Sometimes,2,0.0,3,6.1,0.923,53.33,77.0,Good,62.7,Mixed learners
S1025,Medium,72.5,46.4,0,6,2,61.4,Yes,1,7.4,5,2.2,0.725,30.72,72.0,Good,71.3,Rewatch learners
S1026,Good,87.8,50.6,0,9,1,68.0,Yes,3,8.1,2,1.7,0.878,67.98,63.1,Low,64.0,Rewatch learners
S1027,Low,67.0,30.6,6,4,2,54.4,Yes,2,13.6,4,7.3,0.67,27.2,44.2,Poor,57.3,Mixed learners
